isbn,title,author,description,category,price,language,total_pages,total_chapters,access_period_days
9789391032494,COVID 19: Genocide Without Parallel,Shailendra Kumar,"COVID 19: Genocide Without Parallel Chronicles of 'Dragon' Let Loose, World Economy, Taxation & Vaccination encapsulates the author’s views on the pandemic and its implications. The chapters in the book are arranged under the following themes:1. P3 + C2 - Pandemic, Plandemic, Political Strand, Cyberwarfare & Climate Change2. Natural or Lab-Designed3. Wolf Warrior Diplomacy by the Dragon4. The First Wave - A ‘Fire-Spitting’ Dragon5. Never-Like-Before - Deep Scars Run through the Global Economy6. India’s Desperate Fiscal Response to Cushion Taxpayers>br> 7. Vexatious Vaccination–Jabs vs Jab-Nots8. The Second Wave - Pole Dance by the New Variants and Death Gods",Tax,795,English,320,,
9789391032487,Taxpayer Rights: Deciphering the Indian Charter,Mukesh Butani Kinshuk Jha,(i) Examines the state of taxpayer rights in India critically and comparatively covering the following key aspects:(a) An overview of Indian tax administration mechanism in India;(b) Genesis of taxpayer rights in India;(c) The framework of the taxpayers’ charter;(d) Global perspective of taxpayers’ rights;(e) Digitization on taxpayers’ rights;(f) Bridging the gap between taxpayers and tax administration;(g) Policy recommendations. (ii) Unique in its approach it presents the perspectives of practitioners and academics on the subject.,Tax,795,English,272,,
9789391032425,The Theory of Inverse Logic in Forensic Accounting,Chetan Dalal,"The Theory of Inverse Logic in Forensic Accounting is the author’s attempt of propounding a new theory. The theory in a nutshell illustrates the advantages of looking both ways, forwards and backwards, in given situations to get multidimensional views. The book also illustrates application of certain reality tests on evidence, particularly documentary evidence. A document may appear to indicate something routine or normal but when examined forensically with reality tests, the presence of fraud or deception may be spotted. Thus, in addition to the normal investigation and auditing techniques (which are absolutely necessary) certain reality tests and tests of ‘reasonableness’ using reverse logic may yield new results. In addition, the book is supported with links to access the author’s videos explaining and discussing concepts and case studies. The videos will facilitate better understanding of the theory of inverse logic. The author has extensively used illustrations, experiences with frauds that have happened in the past to demonstrate how the new theory could assist auditors, investigators and even cost & finance controllers in corporate sector.",Tax,1595,English,594,,
9789391032357,Constitution of Tax,Rav Pratap Singh,"Constitution of Tax: A Tale of Four Constitutional Amendments and Consumption Taxes provides an exhaustive account of the four tax-oriented Constitutional amendments, their aims, limitations, and their impact. Written in a lucid language, the book presents an in-depth analysis of the constitutional aspects of tax law. The author examines the evolution of consumption taxes and their frequently contentious place in the Indian Constitutional framework. While placing the GST related Constitutional Amendment in a historical context, the commentary provides an insight into the nature of GST Council and GST Compensation Cess and their implications on fiscal federalism in India. The book will be useful for legal practitioners, judges, chartered accountants, public policy professionals and law students.",Tax,595,English,278,,
9789391032579,Constitution and its Working,N Vijayaraghavan,"Constitution and its Working is penned by the author as a sequel to Constitution and its Making. The book captures the author’s experience about the working of the Constitution of India through musings, anecdotes and episodes. ‘Tryst with Destiny’ Speech (Nehru classic) has not become a Grammar of Anarchy (Ambedkar peroration) thanks to the Constitutional Czars in the Hall of Fame, as Justices Fazl Ali, Vivian Bose, Subba Rao, V R Krishna Iyer; and the stalwart legal practitioners including Nani Palkhivala, Motilal Setalvad, H M Seervai, Soli Sorabjee, the likes of whom come no more, tells the author. In a fascinating constitutional ride, on the musings and episodal road, the author has the reader hooked. The contents and characters commend themselves. The characters came and come alive, as our Constitution, as made, got ‘Working’, for We the People.",Law,595,English,426,,
9789391032593,"Constitution of India - MCQs, Essays & Lectures",Maj Gen Nilendra Kumar,"Constitution of India: MCQs, Essays, & Audio Lectures aims to present an elaborate and comprehensive data bank of questions covering the entire range of the Constitutional text. Questions have been so framed that they induce the students to dwell on the aim, purpose, rationale and import of the Articles. Questions that only attempt to facilitate memorizing ability have been kept out of the book. To upgrade the knowledge base of the students and to sensitize them, ten different topics have been identified where eminent law practitioners have articulated the underlying concept and landmark decisions of the Supreme Court. These lectures are also available to the reader in the audio format which can be accessed through the code provided in the book. Legal luminaries including Justice Madan B Lokur, Dr Subhash C Kashyap, Dr Manish Arora, and Adv. M K Singh have also contributed to the book through their essays on the importance of studying the Constitution of India and have shared their experience and insights for the benefit of the readers. The book will help law students, candidates for the LLM, UGC (NET) exams, PhD scholars, those writing judiciary exams, young civil servants, academic members of the media, those part of think-tanks and even fresh parliamentarians and legislators. • The book is first of its kind on the Constitution of India with audio lectures • Provides a multi-faceted view of the subject with: (i) MCQs on the Constitution, Case Law and Legal Trivia (ii) Articles guiding students of law on key topics under the Constitution by legal stalwarts • Piques the interest of the readers in the Constitution opening the pathway for in-depth study",Law,495,English,360,,
9789391032685,Digital Economy & Direct Taxation – An Overview,K R Sekar,"Digital Economy & Direct Taxation – An Overview traces the evolution of new business models based on digital technologies and discusses the associated taxation challenges. The emergence of the digital economy comprising digital goods and services, virtual currencies including blockchains and bitcoins, and digitalization of traditional business models has necessitated that the conventional principles of taxation are redesigned and newer approaches are adopted. The book identifies various direct tax issues that are being faced globally including the identification of ‘significant economic presence’, the need for nexus-based permanent establishment, and attribution of profits and collection of taxes. With varying and at times competing domestic and international priorities, the role of OECD becomes crucial in bringing about a consensus-based solution to address the challenges of taxing the digital economy. In this context, the book discusses the Unified Approach proposed by the OECD. The author also examines in detail the Equalisation Levy introduced by India in 2016 on digital transactions, and its implementation through the years along with the recent expansion of its scope in 2020. Precedential developments are covered in the book through a selection of Indian and International Rulings where tenuous questions relating to taxation of digital economy have been delved into. The book is intended to serve as a summary and analysis of the challenges faced in implementation of the proposals relating to taxation of digital economy.",Tax,695,English,208,,
9789391032623,Article 370 - A Monograph,Dr Pawan Sharma,"Article 370 – A Monograph traces the journey of this Constitutional provision from its inception to its abrogation and the following happenings. In the book, the author has adopted a novel approach of first setting the context by analysing the historical, socio-cultural, political, legal and judicial aspects of Kashmir. With this background, the author has discussed the events that led to the inclusion of Article 370 in the Constitution of India, its position through the years and finally its abrogation. The author views these developments through a multitude of lenses providing a holistic picture of what its impact has been on the region and the people of Kashmir, and the region’s relationship with the other countries in the world. The book, divided into 7 chapters, begins the discussion with the political and historical background of Article 370, and proceeds on to its abrogation and validity thereof, the implementation of Public Safety Act in the valley & consequent detentions, ramifications on the diplomatic ties of India with other countries, and the global response to the abrogation. The author has concluded the discussion on a hopeful note discussing the role that Kartarpur Corridor could play in developing better relations between the two neighbouring countries. The book incorporates the perspectives of all the stakeholders, including the people of Kashmir. With the intent to mark this book as a tribute to the late Prof (Dr) Mool Chand Sharma tribute messages from legal luminaries who have worked closely with him have also been included.",Law,650,English,274,,
9789391032746,Decoding Child Sexual Abuse,Dr Justice Shalini Phansalkar Joshi,"Decoding Child Sexual Abuse examines the social malady of sexual abuse of children from a socio-legal perspective. The book highlights the need to recognise the impact and to gauge the gravity of child sexual abuse. In this context the book discusses the lacunae in the existing legal framework in India. The book analyses in detail the provisions of The Protection of Children from Sexual Offences Act, 2012, and the Rules framed thereunder. In addition to this the book also examines the other related statutes including the Juvenile Justice Act, 2015 and the Indian Penal Code, 1860. The book provides a holistic view on the subject and will act as a reference to develop best practices relating to substantive and procedural laws. A chapter is dedicated to the comparative analysis of the laws in other jurisdictions and the international conventions and treaties on the subject. The book discusses different dimensions of the subject including the secondary victimisation during trial and the investigation stage. While explaining the procedural laws applicable in cases of child sexual abuse, the need for sensitisation of all the persons involved in the trial process is emphasised. This book will be useful for Judges, Practitioners, Police Officers, Social Activists, NGOs, Judicial Academies, Academicians, and Researchers.",Law,1295,English,606,,
9789391032661,Story of the Clan – A Legacy Untold,S S Naganand,"Story of the Clan – A Legend Untold brings to life the journey of an erudite and illustrious family spanning over 200 years. Narrated by the renowned Senior Advocate, SS Naganand, the author chronicles the lives of his distinguished ancestors and their contributions to the society. The book interweaves their professional, personal and spiritual lives seamlessly. Recounting episodes and incidents from his life, the author shares the lessons that have been instrumental in his professional success as well as personal & spiritual harmony. Written in an anecdotal and lucid style, the narrative is both informative as well as engaging. The book comprises experiences relating to myriad subjects including history, law, travel, spirituality, and traditions. It is fascinating to see the thread of values that runs through the different generations in the family that has paved way for advancements in life while being firmly grounded. The story that is unfolded will inspire many, from different walks of life, especially the young generation, who can imbibe the life lessons in the book towards a harmonious, holistic and successful life.",Law,950,English,350,,
9789391032760,Evolution of Privacy – From Turbulence to Triumph,Saurabh Bindal,"Evolution of Privacy – From Turbulence to Triumph walks the reader through the path that right to privacy has traversed in India through the lens of judicial precedents. With the increasing focus on data privacy and protection and the entrenchment of social media and internet into the lives of individuals, it is crucial to understand how the concept of privacy has shaped since India’s independence. Having started its journey from a strict and narrow interpretation of what privacy constitutes for individuals, the entire gamut of rights that have over time been brought within the purview of the right to privacy has been dealt in detail in the book. The book explains several facets of the right to privacy, such as surveillance, bodily integrity of women, privacy and publications, interception of communications and medical information, to name a few. The role that the Supreme Court has played in interpreting privacy as an essential facet of the fundamental right to life and liberty is also highlighted in the book. The author has also included the key statutes wherein the right to privacy has been acknowledged.",Law,695,English,270,,
9789391032777,"Law Relating to Social Media Crimes, Intermediaries, Digital Media, and OTT Platforms",Puneet Bhasin,"Law Relating to Social Media Crimes, Intermediaries, Digital Media, and OTT Platforms explains lucidly the legal and regulatory framework that governs social media, intermediaries, digital media & OTT platforms. The contentious issues relating to privacy and constitutional rights are explored in the book considering the judicial precedent on the subject. The book examines the various facets of the topic including the history of intermediaries in India, the role of the United Nations, the Intermediary Guidelines, 2021, and the need to regulate social media. The book delineates the recent challenges brought against the Guidelines of 2021 before the courts. Laws governing digital media and OTT platforms as well as different mechanisms available to keep them within the bounds of the law is also dealt with in detail in the book. The book consolidates the laws regulating to these new-age platforms/media and the associated mischief in a simple language. The book will be useful to legal practitioners, judges, general counsels, business leaders, academicians, and students.",Law,795,English,292,,
9789391032753,FAQs on Arbitration in India,Dr Bharat Nain & Dr Aditya Nain,"FAQs on Arbitration in India aims to demystify arbitration by providing answers to what, why, how, when, and whom of arbitration. The book is presented in a Question & Answer format and covers the entire process of arbitration, from the drafting of contracts to the appointment of arbitrators, and the issuance of arbitral awards. To provide context, the book also explains and compares arbitration with mediation and conciliation. Since the book is written for corporates, business owners, legal & non-legal professionals and students, the authors have explained the concepts in simple, everyday language so that the book may be used as a ready-reference to answer the most basic, yet important questions in arbitration.",Law,695,English,338,,
9789391032975,Courtroom Wit and Wisdom: True & Anecdotal,N Vijayaraghavan,"Courtroom Wit and Wisdom makes for an alluring reading. The courtroom is a serious stage. As Justice S Vaidyanathan, in his Foreword, points out, it is a cauldron of multiple emotions. The author has taken the true and factual route, rather than the fictional one. In the heat of exchanges and proceedings, there is spontaneity in the wit and wisdom. The characters come alive, as the author digs into his memory chip. The Scenes in the Act unfold to attract, suggesting that there could even be seeds for a viral serial on the idiot box. Who knows? It could be read from start to finish, middle to middle or rear to front. Any which way, for a convenient and compulsive one. Author affirms that he has named the protagonists where he could and kept some under wraps, where needed. This work is one of a rare genre, from a hands-on practitioner, who has authored an engaging Courtroom Narrative, with wit and wisdom, on the real and true stage.",Law,350,English,172,,
9789391032913,Taxation of Copyright Royalties in India,Ganesh Rajgopalan,"Taxation of Copyright Royalties in India is a thematic commentary on the law and practice relating to taxation of copyright royalties. Thoroughly revised and enlarged to cover many new areas of study as well as significant developments in tax litigation, the 2nd Edition: • Discusses copyright concepts and principles developed through judicial precedents impacting income taxation of copyright royalties. • Provides a comparative study of Indian and foreign laws on copyright and neighbouring rights to understand the differing tax outcomes. • Covers specific scenarios arising in payments for software, cinematographic films, broadcasts, and databases. • Exhaustively discusses the software royalties’ controversy including, (i) Supreme Court Ruling in the Engineering Analysis Centre of Excellence (ii) Treaty practices worldwide as well as the OECD and UN Model Commentaries and proposed changes to the UN Commentary (iii) Analysis of Tax Rulings issued by the Australian Tax Office. • Analyses the copyright royalties’ issues in broadcasting and the internet. • Discusses the cross-border tax issues arising from the territorial nature of copyright and the foreign work versus foreign copyright conundrum. • Deliberates on the question of the applicable law, the relevance of choice of law principles and the contentious effect on income-tax.",Tax,1195,English,604,,
9789391032845,Cannabis Indica: Perception vs Potential,Dr Khagesh Gautam,"Cannabis Indica: Perception vs Potential is a meticulous exposition on the historical and legal status of the Cannabis plant within the territory of India. The narrative traces the journey that the plant has traversed in the statute books and policies starting from the 1600s till date. The book also examines the use of Cannabis in India and other jurisdictions from the social, cultural, spiritual, and medicinal & scientific perspectives. The detailed analysis of the Narcotic Drugs and Psychotropic Substances Act, 1985 provides insights on the criminalization of the use of the Cannabis plant. The discussion in the book offers several arguments, based on extensive research and documented academic works, on legalization of the use of Cannabis plant such that the benefits offered by the plant can be fully realised in a regulated environment. The book is addressed to lawyers, judges, policy-makers, and those interested in the subject.",Law,695,English,234,,
9789391032814,Private Placement of Shares,Viral Mehta,"Private Placement of Shares: Deal-making and the Madisonian Dilemma is meant to serve as a practical guide to private-placement transactions in the Indian corporate context. The book also explores the so-called “Madisonian dilemma” upon which American constitutional democracy rests. The dilemma involves the search for the correct balance between two constitutional principles that are constantly in tension with each other. The law imposes a set of legal requirements on an Indian company proposing to undertake a private placement of its shares. The requirements are designed to safeguard not only the interests of the potential investor but of the shareholders of the company too. Since these statutory protections are, at times, suboptimal, transacting parties prefer to customize them by entering into contractual arrangements as part of their deal. The book explains both the regulatory regime, and the agreements typically entered into in connection with a private-placement transaction. In doing so, it aims to show how good deal-making is an art of fitting them together. The book will be useful for practitioners, law firms, judges, financial advisory entities, academics, and students of law.",Law,695,English,288,,
9789391032852,"Tax, Constitution and the Supreme Court",Karthik Sundaram,"Tax, Constitution and the Supreme Court discusses the fundamental principles of taxation as expounded by the Supreme Court through its judicial pronouncements from 1950 till date in a simple and lucid manner. The second edition of the book incorporates a new chapter on the constitutional aspects of the Goods and Services Tax, and examines the impact of the amendments in Constitution on the concepts of federalism and the demarcation between executive and legislative functions. The author seeks to trace the evolution of taxation laws in India, which entails an in-depth and comprehensive understanding of the constitutional provisions as well as the decisions of the Supreme Court. Presented in thematically arranged chapters, the book delves into the first principles and covers themes including Concept and components of a tax, Legislative power & legislative fields, Territorial jurisdiction, Retrospective taxation, Tax planning versus evasion, and Interpretation of Statutes. The book will be useful for judges, practitioners, law firms, chartered accountants, tax consultants, academicians, students, and law schools.",Tax,795,English,358,,
9789391032227,Saga of the Three Top Courts of India (2 Vol. Set),Justice Sudhir Kumar Katriar,"Saga of the Three Top Courts of India traces the history and evolution of the Supreme Court of India through an historical exposition on its predecessors commencing from the Privy Council through to the Federal Court and the Constituent Assembly. The book comprises four parts. Part- I gives a short history of the Judicial Committee of the Privy Council to the extent it exercised jurisdiction over British India, Part –II gives a brief history of Federal Court of India, Part –III summaries the deliberations of the Constituent Assembly with respect to the judiciary and to ensure a truly independent judiciary in free India, and Part- IV gives a brief history of the Supreme Court of India and still counting.",Law,4995,English,1954,,
9789391032371,"Protection of Children from Sexual Offences Act, 2012 – An Analysis",Maj Gen Nilendra Kumar,"Protection of Children from Sexual Offences Act, 2012 – An Analysis is a section-wise commentary and is written in a lucid language to facilitate understanding of the subject. The author has comprehensively explained the key terms that have an influence on the interpretation of the provisions. The landmark decisions of the Supreme Court and the High Courts that have furthered the jurisprudence on the subject has been incorporated. With the aim to aid the readers with the procedural aspects of the legal framework, the Protection of Children from Sexual Offences Rules, 2020 has been discussed in detail. The legislative background of the POCSO Act has been delved into in the book helping the readers to fully appreciate the intent and purpose of the enactment. The book will be of use to practitioners, adjudicators, enforcement agencies, academicians, and students.",Law,795,English,334,,
9789391032258,Greed - Powering Some of the Most Creative Frauds in Human History,Subhash Jangala & Amrit Agrahari,"Greed - Powering Some of the Most Creative Frauds in Human History unravels some of the most innovative financial frauds that have been conceived and executed in human history through the lens of the key driver behind it. The authors delve into the minds of the fraudsters while presenting an objective assessment of how each of these frauds was designed and accomplished. Written in a lucid and engaging language, the flow of the narrative will take the readers through each step in the fraudulent enterprise. For investigators, who deal with the unearthing of frauds, they will gain from a better understanding of the motives behind these deceptive ploys, primarily greed. It will assist the stakeholders in pre-empting and protecting themselves from becoming the next victim. The human agency behind the curtains runs the show, and the organisational façade/scheme is only an apparatus at its disposal. It is therefore crucial to not just focus on the numbers, the documents, and the contraption, but the showma(e)n behind it. This book aims to offer unique insights into the working of a common human emotion ‘greed’ that has driven and continues to drive some of the most creative financial frauds that humankind has witnessed. The book will be useful to legal and tax professionals, including litigators; investigators; consultants and leaders; enforcement agencies; judges; government officials; policy-makers; academicians; and students.",Tax,795,English,256,,
9789391032456,Prevailing and Emerging Dilemmas in International Taxation,Parthasarathi Shome,"Prevailing and Emerging Dilemmas in International Taxation presents an array of research papers encompassing the raging issues that confront the international tax community today because of a digitalized borderless world of commerce. However borderless the world of commerce has become owing to digitalization, nations remain divided by borders when it comes to taxation. This appositional issue has been discussed comprehensively in the chapters with scholarly insights. (i) The new global tax order that is emerging from the global organizations like OECD/G20 and the UN to border the borderless world attempts to resolve the challenge of equitable distribution of taxing rights between the developed and the developing world. The residence and market jurisdictions have been debated at length in this volume. (ii) The chapters deal with a range of topics that have sparked the debate on international taxation – (a) the issue of accepting source principle over residence, the perspectives of the UN Model Convention, (b) the debate on OECD’s Pillar One and Pillar Two proposals, and (c) the Global Minimum Tax. (iii) Additionally, certain other interesting topics have been included in this volume, for example, (a) various aspects of the taxation of the gig economy, (b) tax challenges of financial innovations, such as SPACs, (c) Indian experiences in investment arbitration, and critical evaluation of faceless assessment in India, shedding light on grey areas. (iv) The chapter on retroactive taxation is a very relevant addition to the bouquet of tax issues that impact the mobility of investments globally. (v) And finally, the critical evaluation of GST has made the volume a very well-rounded compendium. The volume has retained its uniqueness by continuing with rejoinders from the co-authors, providing multiple views on each topic. The volume has also maintained an international flavour by bringing in authors from around the world.",Tax,1250,English,330,,
9789391032678,"Corporate Social Responsibility: Concept, Genesis, Evolution & Practice",Dr Navjeet Sidhu Kundal,"Corporate Social Responsibility: Concept, Genesis, Evolution, & Practice in its new edition provides a comprehensive overview of the subject in the Indian context as well as presents a comparative analysis with the other jurisdictions including the US, UK, Australia, and South Africa. The book offers a step-by-step guidance on the evolution of Corporate Social Responsibility (CSR) in India covering all legislative and policy developments relating to it. A separate chapter in the book explores the regulatory structure in India with a view to expound on the different measures adopted through the years by various regulators and the judiciary to further the practice of CSR. The book offers insights on the international legal framework and the contributions of UN, ILO, and OECD in developing necessary guidelines on the subject. The book delves into the conceptual framework governing CSR interwoven with related principles and dimensions offering a holistic understanding of the subject. The book also evaluates the CSR initiatives undertaken by Indian entities highlighting its practical dimensions. The readers will benefit from the critical analysis of the CSR spend by the Indian corporations at macro and micro levels, including the legal implications of CSR spend on Multinational Corporations. The book will be a handy guide and will be useful for corporate leaders, corporations, policy-makers, lawyers, judges, academicians and students.",Law,795,English,350,,
9789391032210,CSassy Tales: Cybercrime Stories & The Law,N S Nappinai,"CSassy Tales: Cybercrimes Stories & The Law is unique as it adopts a storytelling approach to highlight the threats on digital spaces. In the book a wide-range of cybercrimes prevalent today are discussed comprehensively providing clarity on the legal remedies available to victims. Broadly, the book covers the following categories of cybercrimes: • Cyber Bullying • Cyber Stalking • Morphing & Cybercrimes • Sextortion Cybercrimes • Cyber Scams • Hacking • Cyber/Sexual Harassment • Gaming & Threats • Emerging Technologies & Scams • Cybercrimes – By & Against Children Considering that majority users of the online/digital space are young adults & children; the author’s aim is to arm them with the requisite knowledge to prevent them from becoming perpetrators and/or victims. Each chapter opens with a fictional story drawn from the author’s experience with the subject. The narrative then discusses some real-life cases, the legal provisions and remedies. Each chapter also provides the do’s and don’ts relating to use of digital spaces in the context of the cybercrime under discussion. The chapters adopt an action and consequence approach without bringing in judgment. Another key feature of the book are the engaging exercises that have been embedded within chapters, including questionnaires and case scenarios. These exercises are intended to help readers in developing a better understanding of the preventive steps and remedial actions. This also makes the book useful for teachers and instructors as a trainer’s guide when introducing the subject to students (school, graduate, post-graduate & higher education). The focus of the book is also to improve the rate of reporting of cybercrimes. Many of these cybercrimes go unreported due to its nature and wide reach on the world wide web. As technology is here to stay and as the use of digital spaces has become a necessity, it is prudent to learn about cyber safety and its various facets. This book is a step in this direction.",Law,895,English,442,,
9789395764087,The Law of Prevention of Money Laundering,R K Naroola Udayan Mukerji,"The Law of Prevention of Money Laundering takes forward the critical analysis on the subject from its previous edition in light of the judicial developments, including the landmark decision of the Supreme Court in Vijay Madanlal Choudhary v. Union of India & Ors. The authors have attempted to examine in detail the impact of the judgment on the PMLA, especially in light of the differing standard of jurisprudential principles applicable under PMLA and the other criminal statutes in India. In the new edition, a new chapter on the Schedule has also been added. The chapters in the book are arranged thematically delineating the different aspects of the law against money-laundering. The commentary explains the offence of money-laundering, including its various forms, and key ingredients. The comparative review of the laws in India and other developed jurisdictions including the UK and the USA, along with the reference to the Financial Action Task Force (FATF) Recommendations helps the reader understand the genesis of law in India. The provisions relating to arrest, search, seizure, and adjudication have been discussed in detail, along with the drawbacks that plague the enforcement systems. The book will be useful to law firms, individual practitioners, judges, enforcement agencies, researchers and students of law.",Law,895,English,350,,
9789391032449,LawyerIN: LinkedIn for Lawyers,Akanksha Bisen,"LawyerIN: LinkinedIn for Lawyers is addressed to all law professionals who are inclined to create their own unique personal brand through LinkedIn. The book is designed to help readers develop an effective LinkedIn presence and establish connections that aid the creation of their personal brand. With several illustrations based on the author’s own experience and practical tools, the book will guide the reader through the process. The author gives step-by-step guidance on tasks to be done on daily, weekly, monthly, annual basis. More importantly, it is intended to help the readers discover how they can leverage the freely available tools to make this a smoother ride. The book brings together the learnings and experiences of leading law professionals who have active LinkedIn presence in the form of interviews. “I would highly recommend this publication to readers as it is an eye opener when it comes to the social connect required among professionals and lawyers with clients and other social and modern thinkers…LawyerIN is the new lawyering of the future.” Shardul S Shroff Executive Chairman, Shardul Amarchand Mangaldas & Co",Law,595,English,224,,
9789395764186,"Constitutional Czars in the Hall of fame Musings, Anectodes & Episodes",N Vijayaraghavan & V Lakshminarayanan,"Czar is a Russian word for ruler and emperor. The book presents lives, works, and contributions of some of the tallest figures in the Constitutional history of India and other jurisdictions.",Law,595,English,360,,
9789395764148,"Prevention of Money Laundering Act, 2002 – A Commentary",Somesh Arora & Salil Arora,"Prevention of Money Laundering Act, 2002 – A Commentary (Second Edition) • Revised and fully updated section-wise commentary covering all the landmark judicial decisions • The seminal decision in Vijay Madanlal Choudhary has been discussed in detail and analysed meticulously. • Exhaustively deals with all the key aspects of the PMLA, 2002. • Includes the Act, Rules, and important Notifications. • Updated developments at the international level in Financial Action Task Force. • Insight into the offence of money-laundering and its ever-evolving legal and regulatory framework. • Thoroughly deals with all the definitions of Scheduled Offences drawn from various legislations. • Crucial learnings and techniques to benefit investigators and defence counsels in meeting their mandates in a PMLA case. • Useful for practitioners, judges, enforcement agencies, investigators, academics and students",Law,2250,English,958,,
9789395764124,Constitutional Ideals – Development and Realisation Through Court-led Justice,"Daksh ( Editor - Shruti Vidyasagar, Sandhya P. R., Anindita Pattanayak and Harish Narasappa)","• Curated volume of essays that describe how the judiciary has interpreted and enriched the Constitution in diverse political, social, and economic circumstances. • Various aspects of the Constitution, from how decisions have shaped the identity of citizens, to the changing nature and scope of constitutional rights themselves. • Divided into four different segments: - first explores the manner in which individuals engage with the Constitution to demand citizen-centric justice; - second examines the navigation of group identities (such as religion and caste) in constitutional litigation; - third focuses on the significance of procedural rigour in ensuring substantive justice, including in the context of insolvency, preventive detention, and public consultations before executive decisions; and - final theme captures constitutional values in flux.",Law,795,English,368,,
9789395764384,Royalty and FTS – Understanding Business and Tax Interplay,"Sanjay Kumar, SP Singh, and Sharad Goyal","It seeks to put Business & Tax in the same bracket vis-à-vis the important subject of Royalty & FTS. • It also delves into the process and mechanism of how the valuation should be accurately done. The book has attempted to bring out the business, economics, and tax perspective on all these topics. • In-depth analysis of 92 royalty agreements between unrelated parties and their impact on businesses • Exhaustive coverage of natural resource royalty. • Well suited to the",Tax,1195,English,452,,
9789395764179,Contract Drafting – Tips and Tricks,Bhumesh Verma,"This book provides practical tips and insights for drafting legally binding contracts that protect the interests of all parties involved. • The author illustrates common contract drafting issues and provides practical solutions for addressing them. • With a focus on clear, concise language and a reader-friendly format, this book is an essential resource for anyone involved in contract drafting. • The book aims to share tips for lawyers, legal professionals, and students who often ask for a perfect contract or how to become a contract drafting expert.",Law,395,English,174,,
9789395764254,FAQ’s on the POSH Act,Dr. Bharat Nain,"The topic of sexual harassment at the workplace has received great attention over the last few years, and rightly so. It is a scourge that must be eradicated. The book explains the POSH Act in a Q&A format covering all aspects of sexual harassment at the workplace, including its prevention. It is written in simple language and will benefit HR professionals, leaders & employees. The book also contains easy to interpret infographics, and templates relevant to the POSH Act, along with a draft “Prevention of Sexual Harassment Policy” that can be adapted by any organisation.",Law,695,English,246,,
9789395764421,An Analysis of GST Advance Rulings – Important Propositions,Krupa Venkatesh,"• As with all new legislations, there are ambiguous provisions and new concepts subject to interpretations. • Advance Rulings are powerful tools for planning and tax risk mitigation. • This publication covers important Advance Rulings and Appellate Advance Rulings, with suitable notations, wherever required under GST from 2017 to January 2023. • It is meant to be a reference book for tax professionals since it groups advance rulings based on propositions and makes an easy read.",Tax,650,English,178,,
9789395764322,Mediation Simplified – An Interactive Workbook,Nisshant Laroia and Jonathan Rodrigues,"• Mediation Simplified is India’s first interactive workbook on negotiation and mediation, which aims to support the academia who are being tasked to either research or teach the subject at universities across the country. • A genuine attempt to illustrate the theory of mediation in a practical and relatable manner. • The intricately curated chapters allow the reader an immersive experience to reflect on conflicting simulations and apply practical tools to strategically de-escalate, objectively analyse, and amicably resolve the conflicting situation. • Practitioners of mediation, whether lawyers or mediators, who are not oriented with the subject will also find the book to be a handy tool for research and quick learning.",Law,795,English,360,,
9789395764162,Rising Relevance of Quality Control and Bureau of Indian Standards,Himanshu Tewari,An easy-to-read and understandable collection that touches on essential parts of BIS quality control regulation in India and its interplay with the way of doing business in India. It provides a roadmap for companies looking to engage with India’s high quality licensing framework. The book connects the dots of practical advice to create an easy-to-follow picture while encouraging action and flow in the midst of analysis.,Law,995,English,242,,
9789395764544,Practical Guide to Drafting Commercial Contracts 3/e,Bhumesh Verma,"Practical Guide to Drafting Commercial Contracts is a concise handbook enumerating the key aspects pertaining to drafting effective commercial agreements. Written in a lucid language, the author explains the factors that a draftsman must consider while drafting an agreement that clearly reflects the intent of the parties. A carefully drafted contract must be precise, comprehensive, devoid of contradictions, grammatically accurate and amenable to clear legal interpretation in case of disputes arising therefrom. Contract drafting is a crucial skill that every lawyer must acquire and hone. With the intent to expand the scope of discussion on the various facets of contract negotiation and drafting, especially in this technology driven era, the second edition includes new chapters on e-contracts, damages, intellectual property rights and negotiation. The book also provides specimen drafts of contracts for key commercial transactions for ease of reference by readers. The book will be useful for lawyers, law students and non-lawyers.Bhumesh Verma is the Managing Partner of Corp Comm Legal, an independent Indian law firm headquartered in New Delhi. Besides, he is the convenor of Global Business Lawyers’ League and The Indian Lawyers’ League. With over 25 years’ experience, he is one of the leading Indian senior corporate practitioners ranked inter alia in the ‘A List’ of the Top 100 Indian Lawyers by India Business Law Journal from time to time, most Admired Indian Lawyers, most followed Indian lawyers on LinkedIn, etc. An avid reader, a sought-after speaker, guest faculty and prolific writer, he has contributed to in-house journals of many international law firms on Indian laws and published more than 400 articles so far.",Law,895,English,694,,
